DEPTH,CASEOD,MATRXDEN,ABHV,DCAL,DPOR,GR,NPOR,RHOB,RHOC,SCAL
851,4.5,2.71,12.4352,6.9399,3.1413,88.922,17.0811,2.6563,0.0428,6.7753
850.5,4.5,2.71,12.5083,6.94,4.6034,88.2672,17.1149,2.6313,0.0412,6.7818
850,4.5,2.71,12.5815,6.9409,6.1311,90.2234,17.6413,2.6052,0.0386,6.7829
849.5,4.5,2.71,12.6546,6.9405,6.9899,93.4409,18.4405,2.5905,0.0445,6.7789
849,4.5,2.71,12.7276,6.9394,7.2387,97.5854,19.1996,2.5862,0.059,6.7773
848.5,4.5,2.71,12.8006,6.9394,7.4069,100.4934,19.9575,2.5833,0.0581,6.7781
848,4.5,2.71,12.8737,6.9398,7.772,102.1426,20.3179,2.5771,0.0289,6.7758
847.5,4.5,2.71,12.9466,6.9392,7.7737,101.9936,20.0623,2.5771,0.0037,6.7726
847,4.5,2.71,13.0195,6.9394,6.7727,98.7961,19.9151,2.5942,0.0102,6.7732
846.5,4.5,2.71,13.0926,6.9408,5.3364,96.4365,20.1235,2.6187,0.0352,6.7774
846,4.5,2.71,13.1658,6.9412,4.6801,96.6424,20.4145,2.63,0.0547,6.7834
845.5,4.5,2.71,13.2391,6.9408,5.1282,101.0015,20.4217,2.6223,0.065,6.7912
845,4.5,2.71,13.3125,6.9403,6.0633,121.9964,20.4211,2.6063,0.0647,6.7978
844.5,4.5,2.71,13.3859,6.9397,6.8449,170.377,20.7313,2.593,0.0612,6.7922
844,4.5,2.71,13.459,6.9399,7.2185,210.2818,21.4006,2.5866,0.0536,6.7815
843.5,4.5,2.71,13.5321,6.9406,6.9653,198.3791,21.9979,2.5909,0.0219,6.7822
843,4.5,2.71,13.6054,6.9411,5.8216,164.5068,21.8327,2.6105,-0.0025,6.7872
842.5,4.5,2.71,13.6787,6.9404,4.2723,145.0258,21.4075,2.6369,0.0119,6.7893
842,4.5,2.71,13.7519,6.9396,3.3424,141.6189,21.6668,2.6528,0.0361,6.7901
841.5,4.5,2.71,13.8252,6.94,3.4579,149.0421,22.1349,2.6509,0.0525,6.7888
841,4.5,2.71,13.8991,6.9403,4.2039,163.3745,22.2018,2.6381,0.0614,6.8225
840.5,4.5,2.71,13.9754,6.9402,5.0513,176.2704,22.3607,2.6236,0.1076,6.9479
840,4.5,2.71,14.0542,6.9412,6.394,175.4528,22.9967,2.6007,0.2002,7.0789
839.5,4.5,2.71,14.1343,6.9484,8.9994,164.1165,23.6371,2.5561,0.2391,7.1422
839,4.5,2.71,14.2169,6.9962,12.4801,148.0069,24.1958,2.4966,0.2269,7.2269
838.5,4.5,2.71,14.3014,7.1233,15.8395,131.154,24.393,2.4391,0.2617,7.1933
838,4.5,2.71,14.3855,7.2711,18.7294,121.8629,24.0512,2.3897,0.2821,7.0243
837.5,4.5,2.71,14.4686,7.3584,21.5956,119.1986,23.9821,2.3407,0.2583,6.8949
837,4.5,2.71,14.5505,7.3682,25.9181,120.0225,24.6733,2.2668,0.2116,6.8207
836.5,4.5,2.71,14.6311,7.3499,32.2416,124.8229,25.4556,2.1587,0.1258,6.7804
836,4.5,2.71,14.7115,7.3399,37.2136,132.5399,25.5074,2.0736,0.035,6.7741
835.5,4.5,2.71,14.792,7.34,36.0105,136.7742,24.7351,2.0942,-0.0323,6.7806
835,4.5,2.71,14.8726,7.3419,28.254,133.3789,23.9226,2.2269,-0.0294,6.7833
834.5,4.5,2.71,14.9532,7.3425,19.2753,126.512,23.6297,2.3804,0.0156,6.7824
834,4.5,2.71,15.0338,7.3424,13.9162,122.7236,23.5784,2.472,0.0247,6.7811
833.5,4.5,2.71,15.1143,7.3418,11.8553,121.8269,23.3644,2.5073,0.0175,6.78
833,4.5,2.71,15.1948,7.3412,10.6984,125.1772,23.0086,2.5271,0.0224,6.78
832.5,4.5,2.71,15.2753,7.3414,9.6568,128.4576,22.9423,2.5449,0.036,6.7807
832,4.5,2.71,15.3558,7.3423,9.3099,127.4562,23.049,2.5508,0.0427,6.7795
831.5,4.5,2.71,15.4363,7.3422,9.9186,122.8958,22.8548,2.5404,0.0334,6.7761
831,4.5,2.71,15.5167,7.3417,10.7034,119.061,22.7001,2.527,0.024,6.774
830.5,4.5,2.71,15.5971,7.3405,10.7589,116.0715,22.609,2.526,0.0222,6.7738
830,4.5,2.71,15.6774,7.3388,10.1323,111.3598,22.3792,2.5367,0.0263,6.7733
829.5,4.5,2.71,15.7577,7.3402,9.4697,105.3295,22.2481,2.5481,0.0299,6.7712
829,4.5,2.71,15.838,7.3432,9.0247,102.3464,21.9685,2.5557,0.0336,6.7686
828.5,4.5,2.71,15.9183,7.3437,8.6298,102.6426,21.7457,2.5624,0.0381,6.765
828,4.5,2.71,15.9985,7.3419,8.111,99.3655,22.0513,2.5713,0.0436,6.7623
827.5,4.5,2.71,16.0786,7.3408,7.505,97.1366,22.1816,2.5817,0.0508,6.7628
827,4.5,2.71,16.1588,7.3402,7.1605,101.0601,21.7521,2.5876,0.051,6.7634
826.5,4.5,2.71,16.239,7.3403,7.4738,103.9262,21.3572,2.5822,0.0462,6.7638
826,4.5,2.71,16.3192,7.3409,8.4396,101.6839,21.2363,2.5657,0.0338,6.7654
825.5,4.5,2.71,16.3994,7.3408,9.5542,98.8901,21.6264,2.5466,0.0284,6.768
825,4.5,2.71,16.4798,7.3403,10.4986,98.114,21.7948,2.5305,0.0325,6.7707
824.5,4.5,2.71,16.5601,7.3395,11.4274,98.0739,21.3204,2.5146,0.0252,6.7733
824,4.5,2.71,16.6405,7.3383,12.252,97.5731,20.7706,2.5005,0.0111,6.776
823.5,4.5,2.71,16.7209,7.3379,12.4671,96.0189,20.565,2.4968,0.0141,6.7774
823,4.5,2.71,16.8013,7.3384,12.0697,95.4833,20.6058,2.5036,0.022,6.7776
822.5,4.5,2.71,16.8818,7.3388,11.8446,99.7158,20.6691,2.5075,0.0181,6.7801
822,4.5,2.71,16.9624,7.3391,12.3711,100.5983,21.0074,2.4985,0.0113,6.7856
821.5,4.5,2.71,17.0434,7.3397,13.2654,93.8637,21.6178,2.4832,0.0081,6.8074
821,4.5,2.71,17.1263,7.3398,13.6743,87.4898,21.8423,2.4762,0.0221,6.8989
820.5,4.5,2.71,17.2135,7.3388,13.2998,84.9798,21.3499,2.4826,0.0442,7.1204
820,4.5,2.71,17.3057,7.3389,12.4496,87.5489,20.6385,2.4971,0.0492,7.3652
819.5,4.5,2.71,17.4003,7.3393,11.3798,94.2573,20.4195,2.5154,0.0391,7.4854
819,4.5,2.71,17.4952,7.3397,10.2613,98.4337,20.835,2.5345,0.0266,7.5004
