DEPT,CASEOD,MATRXDEN,ABHV,DCAL,DPOR,GR,NPOR,RHOB,RHOC,SCAL
972.0,4.5,2.71,14.2344,6.7646,25.541,25.4967,20.265,2.2732,0.0334,6.8597
971.5,4.5,2.71,14.3057,6.7639,25.8422,28.0269,20.637,2.2681,0.0261,6.859
971.0,4.5,2.71,14.377,6.7647,25.5471,28.1928,20.3318,2.2731,0.0201,6.8587
970.5,4.5,2.71,14.4483,6.7645,25.0949,26.5897,19.8952,2.2809,0.0267,6.859
970.0,4.5,2.71,14.5196,6.765,25.0185,24.1512,19.8882,2.2822,0.0298,6.8589
969.5,4.5,2.71,14.591,6.77,25.0713,23.5399,20.2003,2.2813,0.0202,6.8575
969.0,4.5,2.71,14.6625,6.7767,24.5538,25.4959,20.5188,2.2901,0.0237,6.8579
968.5,4.5,2.71,14.7342,6.7832,23.5721,26.4779,20.9019,2.3069,0.0423,6.8588
968.0,4.5,2.71,14.8059,6.7881,22.9067,24.5334,21.1935,2.3183,0.0555,6.8589
967.5,4.5,2.71,14.8777,6.7893,22.7474,23.8649,20.8936,2.321,0.0555,6.8565
967.0,4.5,2.71,14.9493,6.7875,22.6818,26.4329,20.3489,2.3221,0.0497,6.8521
966.5,4.5,2.71,15.0208,6.7833,22.7439,29.5411,20.2693,2.3211,0.0561,6.8508
966.0,4.5,2.71,15.0922,6.7793,23.5397,30.107,20.2556,2.3075,0.0625,6.85
965.5,4.5,2.71,15.1635,6.7783,25.2315,28.3433,19.7432,2.2785,0.0503,6.8477
965.0,4.5,2.71,15.2349,6.7788,27.1382,27.0885,19.451,2.2459,0.0284,6.8479
964.5,4.5,2.71,15.3064,6.7799,28.5213,24.7545,19.8026,2.2223,0.0147,6.8508
964.0,4.5,2.71,15.3779,6.7812,29.2102,20.6849,20.3543,2.2105,0.0221,6.8528
963.5,4.5,2.71,15.4494,6.7805,29.4175,19.577,20.8607,2.207,0.0335,6.8547
963.0,4.5,2.71,15.5209,6.78,29.2308,20.4937,21.03,2.2102,0.035,6.8556
962.5,4.5,2.71,15.5925,6.7802,28.5924,20.0693,20.7196,2.2211,0.0399,6.8553
962.0,4.5,2.71,15.6638,6.7702,27.7367,20.3615,20.6399,2.2357,0.0513,6.8537
961.5,4.5,2.71,15.7344,6.7374,27.1712,21.0944,20.9087,2.2454,0.0626,6.8511
961.0,4.5,2.71,15.8044,6.7026,27.0921,21.4602,20.9261,2.2467,0.0687,6.8521
960.5,4.5,2.71,15.8742,6.6879,27.246,20.826,20.6387,2.2441,0.0713,6.8538
960.0,4.5,2.71,15.944,6.6856,27.5541,19.0497,20.5832,2.2388,0.0731,6.8547
959.5,4.5,2.71,16.0138,6.6856,28.1486,17.7506,20.793,2.2287,0.0694,6.856
959.0,4.5,2.71,16.0835,6.6855,28.8257,17.3039,20.9486,2.2171,0.0577,6.8556
958.5,4.5,2.71,16.1533,6.6867,29.1377,16.9895,21.0709,2.2117,0.0496,6.855
958.0,4.5,2.71,16.2231,6.6872,28.9227,17.0717,21.1922,2.2154,0.0572,6.8567
957.5,4.5,2.71,16.2929,6.686,28.5972,18.9292,21.1521,2.221,0.0663,6.8567
