DEPTH,CILD,CALN,CALD,GR,ILD,ILM,LWTLB,NPLS,DPLS,RXRT,SFL,SP,DRHO,RHOB,PE
567.5,55.26,6.86,6.97,92.3,18.09,20.17,741.98,11.71,6.54,-19.49,23.49,-14.23,0,2.6,3.81
568,51.16,6.86,6.97,84.07,19.55,25.01,734.19,10.32,4.03,-30.33,32.17,-15.3,0.02,2.64,3.9
568.5,46.59,6.86,6.97,73.1,21.46,31.48,726.45,8.15,2.81,-38.12,42.69,-16.88,0.01,2.66,4.1
569,41.43,6.86,6.97,61.46,24.14,37.64,710.35,5.99,3.3,-39.42,49.36,-18.97,0,2.65,4.48
569.5,35.35,6.86,6.97,57.07,28.29,41.24,703.61,4.82,3.5,-33.58,49.69,-21.51,0,2.65,4.76
570,29.35,6.86,6.97,59.24,34.07,42.89,708.09,4.55,2.24,-24.37,47.83,-23.95,0.01,2.67,4.6
570.5,24.53,6.86,6.97,60.84,40.77,45.27,729.46,4.57,1.08,-18.01,49.39,-25.73,0.02,2.69,4.24
571,21.56,6.86,6.97,62.68,46.39,50.28,754.39,4.68,2,-19.82,58.04,-26.72,0,2.68,4.03
571.5,21.6,6.86,6.97,63.04,46.3,57.28,773.21,4.51,3.36,-31.66,75.52,-26.93,-0.02,2.65,4.2
572,25.14,6.86,6.97,58.53,39.78,59.33,781.11,3.68,3.86,-47.15,96.89,-26.36,-0.03,2.64,4.66
572.5,32.17,6.86,6.97,53.81,31.08,48.21,784.1,2.76,3.45,-59.24,106.39,-24.92,-0.02,2.65,5.01
573,41.74,6.86,6.97,50,23.96,31.82,773.07,2.37,2.89,-63.91,94.39,-22.73,-0.01,2.66,5
573.5,53.04,6.86,6.97,47.24,18.85,20.18,759.77,2.92,3.7,-59.54,66.43,-20.13,-0.01,2.65,4.96
574,65.72,6.86,6.97,56.84,15.22,13.66,744.88,4.86,6.07,-47.19,38.77,-17.7,-0.02,2.61,4.89
574.5,79.22,6.86,6.97,83.49,12.62,10.43,730.12,7.37,9.15,-29.34,20.8,-16.28,-0.02,2.55,4.7
575,94.21,6.86,6.97,117.18,10.61,8.92,720.61,11.2,11.58,-15.31,12.93,-15.92,-0.02,2.51,4.25
575.5,109.66,6.86,6.97,137.74,9.12,8.31,715.14,17.42,11.73,-17.8,11.79,-16.46,-0.01,2.51,3.75
576,122.06,6.86,6.97,125.75,8.19,8.08,719.02,22.33,9.46,-26.01,12.75,-17.62,0,2.55,3.47
576.5,127.38,6.86,6.97,105.62,7.85,7.97,718.73,22.05,7.12,-26.12,12.27,-19.16,0,2.59,3.42
577,124.4,6.86,6.97,105.95,8.04,8.04,714.33,19.59,7.34,-19.19,10.76,-21.01,0,2.58,3.58
577.5,115.66,6.86,6.97,119.89,8.65,8.55,700.26,20.06,8.09,-15.71,10.72,-23.2,0.01,2.57,3.59
578,104.89,6.86,6.97,128.25,9.53,9.79,690.23,22.52,7.11,-21.75,13.39,-25.8,0.02,2.59,3.42
578.5,93.28,6.86,6.97,118.71,10.72,12.03,686.37,21.71,5.67,-29.93,18.04,-28.92,0.02,2.61,3.45
579,80.43,6.86,6.97,96.79,12.43,15.47,694.67,18.55,4.29,-34.1,22.96,-32.47,0.01,2.64,3.73
579.5,66.81,6.86,6.97,83.09,14.97,20.2,695.32,14.11,3.37,-35.4,28.22,-36.25,0,2.65,4.13
580,54.03,6.86,6.97,80.71,18.51,25.9,698.62,10.88,3.24,-37.84,36.73,-40.27,0,2.65,4.41
580.5,44.78,6.86,6.97,70.11,22.33,32.01,684.07,9.38,3.37,-39.66,46.09,-43.97,0,2.65,4.47
581,40.02,6.86,6.97,56.2,24.99,36.36,671.34,7.11,3.43,-38.03,49.25,-46.56,0,2.65,4.55
581.5,39.47,6.86,6.97,50.66,25.34,36.06,651.29,5.38,3.69,-35.59,46.98,-47.9,0,2.65,4.63
582,42.53,6.86,6.97,52.34,23.51,30.97,642.33,5.03,3.83,-36.63,44.87,-48.01,0,2.64,4.64
582.5,47.61,6.86,6.97,56.06,21,24.26,647.78,5.33,3.39,-38.95,42.68,-46.68,0,2.65,4.49
583,53.41,6.86,6.97,60.72,18.72,18.75,668.4,6.19,3.15,-35.63,35.14,-43.89,0,2.66,4.29
583.5,60.28,6.86,6.97,83.34,16.59,15.18,693.74,8.27,5.42,-26.12,25.02,-39.98,0,2.62,4.16
584,69.51,6.86,6.97,138.4,14.39,13.2,716.72,13.03,11.01,-18.89,18.63,-35.97,0,2.52,3.95
584.5,82.07,6.86,6.97,212.43,12.19,11.97,724.98,21.33,18.7,-23.87,17.72,-33.09,0.01,2.39,3.62
585,96.7,6.86,6.97,289.92,10.34,10.78,730.5,29.17,25.53,-32.95,18.73,-31.43,0.01,2.27,3.32
585.5,111.91,6.86,6.97,352.54,8.94,9.34,727.17,34.92,28.28,-34.09,16.74,-29.89,0.02,2.23,3.17
586,126.48,6.86,6.97,346.78,7.91,7.93,730.33,35.28,25.58,-27.67,12.8,-28.06,0.01,2.27,3.17
